Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",114.150000,-133.850000,0.000000,top
"C2","1u","C_0402_1005Metric",96.350000,-111.300000,90.000000,top
"C3","100p","C_0402_1005Metric",124.400000,-133.700000,180.000000,top
"C4","1u","C_0402_1005Metric",96.350000,-107.350000,-90.000000,top
"C5","100n","C_0603_1608Metric",95.425000,-105.650000,180.000000,top
"C6","100n","C_0603_1608Metric",59.350000,-154.525000,90.000000,top
"C7","100n","C_0603_1608Metric",64.000000,-154.550000,90.000000,top
"C8","10u@50V","C_0805_2012Metric",100.700000,-90.750000,180.000000,top
"C9","10u","C_1206_3216Metric",105.300000,-69.600000,0.000000,top
"C10","10u","C_1206_3216Metric",105.302651,-72.100000,0.000000,top
"C11","100n","C_0603_1608Metric",115.590000,-89.875000,-90.000000,top
"C12","10u","C_0805_2012Metric",96.700000,-85.450000,180.000000,top
"C13","10u","C_1206_3216Metric",89.450000,-70.200000,-90.000000,top
"C14","10u","C_1206_3216Metric",87.050000,-70.200000,-90.000000,top
"C15","100n","C_0603_1608Metric",99.550000,-157.050000,-90.000000,top
"C16","1u","C_0402_1005Metric",89.400000,-146.270000,-90.000000,top
"C17","4n7","C_0402_1005Metric",128.400000,-74.000000,0.000000,top
"C18","1u","C_0402_1005Metric",131.420000,-74.150000,0.000000,top
"C19","1u","C_0402_1005Metric",112.250000,-91.910000,90.000000,top
"C20","1u","C_0402_1005Metric",52.030000,-133.750000,0.000000,top
"C21","100n","C_0603_1608Metric",121.150000,-134.700000,-90.000000,top
"C22","100p","C_0603_1608Metric",133.350000,-100.000000,90.000000,top
"C23","100n","C_0603_1608Metric",65.150000,-101.450000,-90.000000,top
"C24","10u","C_0603_1608Metric",61.700000,-89.150000,90.000000,top
"C25","10u","C_0603_1608Metric",61.750000,-85.950000,90.000000,top
"C26","10u@50V","C_0805_2012Metric",131.900000,-68.600000,90.000000,top
"C29","10u","C_0603_1608Metric",52.055000,-135.050000,180.000000,top
"C30","10u","C_0603_1608Metric",52.030000,-136.600000,180.000000,top
"C32","4n7","C_0402_1005Metric",101.650000,-141.050000,-90.000000,top
"C33","1u","C_0402_1005Metric",101.650000,-143.700000,-90.000000,top
"C34","100n","C_0603_1608Metric",131.600000,-71.950000,-90.000000,top
"C35","100n","C_0603_1608Metric",105.300000,-146.800000,180.000000,top
"C36","100n","C_0603_1608Metric",105.300000,-145.250000,180.000000,top
"C37","100p","C_0402_1005Metric",124.500000,-125.050000,180.000000,top
"C38","100p","C_0402_1005Metric",101.200000,-150.350000,180.000000,top
"C39","100n","C_0603_1608Metric",91.950000,-152.675000,90.000000,top
"C40","10u@50V","C_0805_2012Metric",90.150000,-152.625000,-90.000000,top
"C41","100n","C_0603_1608Metric",98.350000,-96.450000,180.000000,top
"C42","10u@50V","C_0805_2012Metric",104.900000,-93.000000,-90.000000,top
"C45","100n","C_0603_1608Metric",103.575000,-122.840000,0.000000,top
"C47","1u","C_0402_1005Metric",58.650000,-141.800000,90.000000,top
"D1","B5819W_SL","D_SOD-123",97.600000,-88.900000,-90.000000,top
"D2","1N5819WS","D_SOD-323",97.900000,-80.350000,0.000000,top
"D3","1N5819WS","D_SOD-323",92.950000,-80.400000,180.000000,top
"D4","SS54","D_SMA",128.900000,-100.600000,180.000000,top
"D5","LED_Small","LED_0805_2012Metric",53.150000,-110.450000,180.000000,top
"D6","LED_Small","LED_0805_2012Metric",53.150000,-108.450000,180.000000,top
"D7","SS54","D_SMA",95.200000,-157.200000,0.000000,top
"D8","ZMMxx","D_MiniMELF",62.200000,-143.250000,0.000000,top
"D9","ZMMxx","D_MiniMELF",56.750000,-144.100000,0.000000,top
"D11","green","LED_0805_2012Metric",57.400000,-82.900000,0.000000,top
"D12","green","LED_0805_2012Metric",57.400000,-84.895000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1.5mm",145.000000,-160.050000,0.000000,top
"HS1","Heatsink","heatsink1",138.217500,-154.700000,90.000000,top
"J1","USB_B","USB_A_CONNFLY_DS1095-WNR0",57.827500,-92.200000,-90.000000,top
"J2","LCD_conn","PinHeader_1x06_P2.54mm_Vertical",60.250000,-158.700000,90.000000,top
"J3","Jack-DC","BarrelJack_Wuerth_6941xx301002",105.650000,-59.650000,180.000000,top
"J4","Jack-DC","BarrelJack_Wuerth_6941xx301002",130.200000,-160.700000,0.000000,top
"J5","Input","TerminalBlock_Altech_AK300-2_P5.00mm",101.030000,-167.000000,180.000000,top
"J6","Input","TerminalBlock_Altech_AK300-2_P5.00mm",94.650000,-53.950000,180.000000,top
"J7","Input","TerminalBlock_Altech_AK300-2_P5.00mm",126.635000,-54.200000,0.000000,top
"J8","INPUT","TerminalBlock_Altech_AK300-2_P5.00mm",116.100000,-166.450000,0.000000,top
"J9","jumper","PinHeader_1x02_P2.54mm_Vertical",108.550000,-78.360000,0.000000,top
"J10","Jack-DC","BarrelJack_Wuerth_6941xx301002",117.950000,-59.550000,180.000000,top
"J11","Input","TerminalBlock_Altech_AK300-2_P5.00mm",115.735000,-69.050000,0.000000,top
"J13","jumper","PinHeader_1x02_P2.54mm_Vertical",101.975000,-93.700000,-90.000000,top
"J14","USB_C_Receptacle","MC-710",55.200000,-147.830000,-90.000000,top
"J15","connector","PinHeader_1x02_P2.54mm_Vertical",103.300000,-135.025000,0.000000,top
"J16","Input","TerminalBlock_Altech_AK300-2_P5.00mm",78.250000,-166.850000,0.000000,top
"L1","75u","L_Changjiang_FNR8040S",97.850000,-68.950000,90.000000,top
"L2","75u","L_Changjiang_FNR8040S",104.650000,-155.350000,90.000000,top
"Q1","2N7002","SOT-23",69.612500,-154.250000,180.000000,top
"Q2","2N7002","SOT-23",69.612500,-150.800000,180.000000,top
"Q3","IRFZ24NPBF","TO-247-3_Vertical",132.317500,-130.800000,-90.000000,top
"Q5","2N7002","SOT-23",56.400000,-136.062500,90.000000,top
"Q7","2N7002","SOT-23",118.687500,-120.450000,0.000000,top
"Q8","IRF9530NPBF","TO-220-3_Vertical",131.205000,-90.060000,-90.000000,top
"Q10","IRFZ24NPBF","TO-247-3_Vertical",132.277500,-106.480000,-90.000000,top
"R1","3k","R_0603_1608Metric",123.500000,-135.700000,90.000000,top
"R2","1k","R_0603_1608Metric",122.200000,-123.750000,-90.000000,top
"R3","10k","R_0603_1608Metric",60.900000,-154.525000,90.000000,top
"R4","470","R_0402_1005Metric",96.350000,-109.250000,90.000000,top
"R5","2k","R_0402_1005Metric",98.650000,-108.550000,0.000000,top
"R6","1k","R_0603_1608Metric",119.550000,-134.700000,-90.000000,top
"R7","3k","R_0603_1608Metric",123.700000,-123.000000,-90.000000,top
"R8","1k","R_0603_1608Metric",54.170000,-82.945000,180.000000,top
"R9","10k","R_0603_1608Metric",62.450000,-154.525000,90.000000,top
"R10","1k","R_0603_1608Metric",54.170000,-84.895000,180.000000,top
"R11","1k","R_0603_1608Metric",118.940000,-80.075000,180.000000,top
"R12","1k","R_0603_1608Metric",118.690000,-89.875000,-90.000000,top
"R14","10k","R_0603_1608Metric",66.825000,-154.000000,90.000000,top
"R15","100","R_0603_1608Metric",125.250000,-123.000000,-90.000000,top
"R16","10k","R_0603_1608Metric",66.845000,-150.950000,-90.000000,top
"R17","10k","R_0603_1608Metric",72.425000,-153.100000,90.000000,top
"R18","10k","R_0603_1608Metric",72.425000,-150.050000,-90.000000,top
"R19","50","R_0603_1608Metric",97.000000,-82.850000,90.000000,top
"R20","50","R_0603_1608Metric",98.550000,-82.850000,-90.000000,top
"R21","50","R_0603_1608Metric",92.100000,-82.900000,90.000000,top
"R23","50","R_0603_1608Metric",93.650000,-82.900000,-90.000000,top
"R24","15k","R_0603_1608Metric",121.290000,-81.175000,-90.000000,top
"R25","0R1","R_1206_3216Metric",126.050000,-91.650000,0.000000,top
"R26","100","R_0603_1608Metric",111.890000,-79.075000,-90.000000,top
"R27","100","R_0603_1608Metric",125.000000,-135.700000,90.000000,top
"R28","0R1","R_1206_3216Metric",128.462500,-71.200000,180.000000,top
"R29","10","R_0402_1005Metric",127.000000,-73.500000,-90.000000,top
"R30","10","R_0402_1005Metric",129.900000,-73.500000,-90.000000,top
"R31","10k","R_0603_1608Metric",81.300000,-68.000000,180.000000,top
"R32","15k","R_0603_1608Metric",114.990000,-79.125000,90.000000,top
"R33","1k","R_0603_1608Metric",113.440000,-79.125000,90.000000,top
"R34","10k","R_0603_1608Metric",95.950000,-98.725000,90.000000,top
"R35","10","R_0402_1005Metric",60.350000,-111.850000,90.000000,top
"R36","10k","R_0603_1608Metric",104.650000,-130.150000,90.000000,top
"R37","10k","R_0603_1608Metric",91.050000,-150.050000,0.000000,top
"R38","24k","R_0603_1608Metric",101.300000,-149.150000,0.000000,top
"R39","1k","R_0603_1608Metric",98.250000,-147.600000,180.000000,top
"R40","1k","R_0603_1608Metric",98.250000,-149.150000,180.000000,top
"R41","10k","R_0603_1608Metric",106.200000,-131.100000,90.000000,top
"R42","10k","R_0603_1608Metric",117.450000,-134.700000,90.000000,top
"R43","10k","R_0603_1608Metric",115.925000,-123.750000,-90.000000,top
"R44","2.7M","R_0603_1608Metric",120.575000,-123.750000,90.000000,top
"R45","0R1","R_1206_3216Metric",106.500000,-141.850000,90.000000,top
"R46","15k","R_0603_1608Metric",117.140000,-89.875000,-90.000000,top
"R48","0R1","R_1206_3216Metric",108.830000,-141.850000,90.000000,top
"R49","10","R_0402_1005Metric",104.200000,-142.600000,180.000000,top
"R50","10","R_0402_1005Metric",103.550000,-141.500000,180.000000,top
"R51","330k","R_0603_1608Metric",119.025000,-123.750000,-90.000000,top
"R52","1M","R_0603_1608Metric",117.475000,-123.725000,-90.000000,top
"R53","10k","R_0603_1608Metric",115.225000,-121.150000,180.000000,top
"R54","56","R_0603_1608Metric",115.225000,-119.620000,180.000000,top
"R55","10k","R_0603_1608Metric",120.240000,-89.875000,90.000000,top
"R56","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",63.600000,-101.600000,90.000000,top
"R57","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",56.600000,-110.450000,180.000000,top
"R58","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",57.550000,-108.500000,180.000000,top
"R59","0R1","R_1206_3216Metric",128.462500,-68.850000,180.000000,top
"R60","0R1","R_1206_3216Metric",126.050000,-93.970000,0.000000,top
"R61","10k","R_0603_1608Metric",106.950000,-88.800000,180.000000,top
"R62","1k","R_0603_1608Metric",103.900000,-88.800000,0.000000,top
"R63","1k","R_0603_1608Metric",104.000000,-90.500000,180.000000,top
"R64","100","R_0603_1608Metric",95.200000,-147.600000,0.000000,top
"R65","10k","R_0603_1608Metric",93.625000,-124.490000,-90.000000,top
"R66","10k","R_0603_1608Metric",103.575000,-127.490000,180.000000,top
"R67","10k","R_0603_1608Metric",103.525000,-120.740000,180.000000,top
"R68","10k","R_0603_1608Metric",103.575000,-125.940000,180.000000,top
"R69","330k","R_0603_1608Metric",103.575000,-124.390000,0.000000,top
"R70","10k","R_0603_1608Metric",89.025000,-119.790000,90.000000,top
"R71","100k","R_0603_1608Metric",92.925000,-119.340000,180.000000,top
"R72","100k","R_0603_1608Metric",90.525000,-119.790000,90.000000,top
"R73","0R1","R_1206_3216Metric",87.150000,-65.150000,90.000000,top
"R74","10k","R_0603_1608Metric",89.775000,-122.090000,0.000000,top
"R75","10k","R_0603_1608Metric",95.200000,-93.700000,90.000000,top
"R76","10k","R_0603_1608Metric",96.700000,-93.700000,90.000000,top
"R77","100k","R_0603_1608Metric",92.850000,-121.400000,0.000000,top
"R78","10k","R_0603_1608Metric",94.775000,-117.740000,180.000000,top
"R79","10k","R_0603_1608Metric",113.525000,-92.362500,90.000000,top
"R80","10","R_0402_1005Metric",59.300000,-111.850000,90.000000,top
"R81","10k","R_0603_1608Metric",54.100000,-139.600000,-90.000000,top
"R82","1M","R_0603_1608Metric",56.550000,-140.600000,0.000000,top
"R83","10k","R_0603_1608Metric",61.150000,-147.750000,-90.000000,top
"R84","1k","R_0603_1608Metric",55.200000,-142.150000,0.000000,top
"R85","10k","R_0603_1608Metric",56.450000,-138.825000,180.000000,top
"SW1","SW_SPST","PTS526SK15SMTR2LFS",70.422500,-165.805000,-90.000000,top
"SW3","RotaryEncoder_Switch","PEC12R4230FS0024",75.950000,-63.200000,-90.000000,top
"SW4","SW_SPST","PTS526SK15SMTR2LFS",63.050000,-165.800000,-90.000000,top
"U2","LM324","SOIC-14_3.9x8.7mm_P1.27mm",115.850000,-84.600000,90.000000,top
"U3","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",59.730000,-123.300000,90.000000,top
"U4","MCP3208","SOIC-16_3.9x9.9mm_P1.27mm",100.700000,-102.800000,180.000000,top
"U5","CJ431","SOT-23",98.660000,-111.040000,-90.000000,top
"U8","LM324","SOIC-14_3.9x8.7mm_P1.27mm",121.250000,-129.350000,90.000000,top
"U11","TPS5430DDAR","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",96.450000,-152.650000,180.000000,top
"U12","1602_LCD_I2C","1602_LCD_mine",68.650000,-115.850000,90.000000,top
"U13","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",130.150000,-78.400000,90.000000,top
"U14","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",97.350000,-142.300000,0.000000,top
"U17","AMS1117-3.3","SOT-223-3_TabPin2",67.000000,-87.250000,0.000000,top
"U18","LM317_TO-220","TO-220-3_Vertical",107.790000,-85.005000,180.000000,top
"U19","LM324A","SOIC-14_3.9x8.7mm_P1.27mm",98.275000,-123.190000,180.000000,top
